male,book1,book2,book3,book4,book5,isMarried,isNoble,numDeadRelations,popularity,isAlive
1,0,0,1,0,0,0,0,0,0.0133779264214046,0
0,0,0,0,0,1,1,0,0,0.040133779264214,1
0,0,0,0,1,0,0,1,0,0.00668896321070234,1
0,0,0,1,0,0,0,0,0,0.0133779264214046,1
1,0,0,0,0,1,0,0,0,0.0133779264214046,1
1,0,0,0,0,1,0,0,0,0.0100334448160535,1
0,0,0,1,1,0,0,0,0,0.0167224080267558,1
1,0,1,1,1,1,0,0,0,0.11371237458193902,1
1,1,1,1,0,1,0,1,0,0.0735785953177257,1


1,0,0,0,0,0,0,0,5,1.0,0
1,0,0,0,0,0,1,1,0,0.19397993311036701,0
1,0,1,1,1,1,1,1,0,0.11036789297658801,0
1,0,0,0,0,0,0,0,0,0.7056856187290971,0
0,1,1,1,1,1,1,1,3,1.0,1
0,1,0,0,0,0,1,1,12,0.220735785953177,0
0,0,0,0,1,0,0,0,0,0.020066889632107,1
1,0,0,0,1,0,0,0,0,0.0468227424749163,1
1,0,0,0,1,0,1,1,0,0.0903010033444816,0
0,0,0,0,0,0,0,1,0,0.020066889632107,0
1,0,0,0,1,0,0,0,0,0.060200668896321,1
1,0,1,0,1,0,0,0,0,0.040133779264214,1
1,0,0,0,0,0,0,0,0,0.0100334448160535,1
1,0,0,0,1,0,0,0,0,0.0167224080267558,1
0,0,0,1,1,0,0,1,0,0.127090301003344,1
1,0,0,1,0,0,0,0,0,0.0100334448160535,0
1,0,1,0,0,0,0,0,0,0.0133779264214046,0
0,0,0,0,0,0,0,0,0,0.00668896321070234,1
1,0,0,0,0,0,0,0,0,0.0100334448160535,1
0,0,0,0,1,0,0,0,0,0.0100334448160535,1
0,1,0,0,0,0,0,0,0,0.00334448160535117,1
0,0,0,1,0,0,0,0,0,0.00334448160535117,1
1,1,1,1,0,0,0,0,0,0.0668896321070234,0
1,0,0,0,1,0,0,1,0,0.0100334448160535,1
1,0,0,1,0,0,0,1,0,0.0133779264214046,1
0,0,0,0,1,0,0,1,0,0.0167224080267558,1
0,0,0,1,1,0,0,0,0,0.127090301003344,1
0,0,0,0,1,1,0,0,0,0.0167224080267558,1
1,0,0,0,0,0,0,1,0,0.0,1
1,0,0,0,0,0,0,1,0,0.0167224080267558,1
1,0,1,0,0,0,0,0,0,0.0133779264214046,0
0,0,1,0,0,0,0,0,0,0.00668896321070234,1
0,0,0,0,0,0,0,1,0,0.00668896321070234,1
1,0,1,0,0,0,0,0,0,0.0234113712374581,1
1,0,0,0,0,0,1,1,3,0.0969899665551839,0
0,0,0,0,0,0,1,1,0,0.14381270903010002,0
0,0,0,0,0,0,0,1,0,0.0735785953177257,0
0,1,0,0,0,0,1,1,1,0.277591973244147,0
0,1,1,1,1,1,0,1,10,0.244147157190635,0
0,0,0,0,1,0,0,0,0,0.0167224080267558,1
0,0,0,0,0,0,1,1,0,0.14381270903010002,0
0,0,0,0,1,0,1,0,0,0.0501672240802675,1
0,0,0,0,1,0,0,1,0,0.0167224080267558,0
1,0,0,1,0,0,0,1,0,0.0234113712374581,1
1,0,0,0,1,0,0,1,0,0.00334448160535117,1
1,0,0,0,0,0,0,0,0,0.00334448160535117,1
1,0,0,1,1,0,0,0,0,0.123745819397993,1
1,0,0,0,0,0,0,1,0,0.00668896321070234,1
1,0,0,0,0,0,0,1,0,0.0234113712374581,1
1,0,1,1,1,0,0,0,0,0.120401337792642,1
0,0,0,1,0,0,0,1,0,0.0100334448160535,1
1,0,0,0,0,0,0,0,7,1.0,0
1,0,0,0,1,0,0,0,0,0.0167224080267558,1
1,0,1,1,1,0,0,0,0,0.147157190635451,1
1,0,0,0,1,0,0,0,0,0.0635451505016722,1
1,0,0,0,1,0,0,0,0,0.0267558528428093,1
1,0,0,0,1,1,0,0,0,0.0133779264214046,1
0,0,0,0,1,0,0,0,0,0.0,1
1,0,0,0,0,1,1,0,0,0.10033444816053501,1
1,0,0,0,0,0,0,0,0,0.0301003344481605,0
0,0,0,0,1,0,0,0,0,0.0133779264214046,1
1,0,0,0,1,1,0,0,0,0.0468227424749163,1
1,0,0,0,1,0,0,0,0,0.0,1
1,0,0,0,0,0,0,1,0,0.020066889632107,1
1,0,1,0,0,0,0,0,0,0.00334448160535117,1
1,0,0,0,1,0,0,1,0,0.0100334448160535,1
1,0,0,1,1,0,0,0,0,0.0434782608695652,1
1,0,0,0,1,0,0,0,0,0.020066889632107,1
1,0,0,0,0,1,0,0,0,0.040133779264214,1
0,0,0,1,0,0,0,0,0,0.0334448160535117,1
0,0,0,1,0,0,0,0,0,0.0133779264214046,1
1,0,0,0,1,0,0,0,0,0.040133779264214,1
1,0,0,1,1,0,0,1,0,0.0100334448160535,1
0,0,0,0,1,0,0,0,0,0.00334448160535117,1
1,0,0,0,1,1,0,0,0,0.0301003344481605,1
0,0,0,0,1,1,0,0,0,0.0234113712374581,1
0,0,0,0,1,0,0,0,0,0.0301003344481605,1
1,0,0,0,0,1,0,0,0,0.060200668896321,0
0,1,0,0,0,0,0,0,0,0.0,1
1,0,0,0,0,0,0,1,0,0.244147157190635,0
0,0,0,0,1,0,0,1,0,0.00668896321070234,1
0,0,0,0,1,0,0,0,0,0.0100334448160535,1
1,0,0,0,0,1,0,0,0,0.0,1
1,0,0,0,1,0,0,1,0,0.0133779264214046,1
1,0,0,1,1,1,1,0,0,0.0267558528428093,1
0,0,0,1,0,0,0,0,0,0.0133779264214046,0
0,0,0,0,0,0,0,0,0,0.0,1
0,0,0,0,0,0,0,0,0,0.0133779264214046,1
0,0,1,0,0,0,0,0,0,0.00334448160535117,1
0,0,0,0,0,0,0,0,0,0.0468227424749163,1
1,0,0,1,0,0,0,0,0,0.0301003344481605,0
1,0,1,0,0,0,0,0,0,0.0133779264214046,1
1,0,0,0,0,0,0,0,0,0.00334448160535117,1
1,0,0,1,1,0,0,1,0,0.0133779264214046,1
1,0,0,0,1,0,0,0,0,0.0535117056856187,1
0,0,0,1,0,0,0,0,0,0.00668896321070234,1
1,0,0,1,0,0,0,0,0,0.0100334448160535,1
0,0,0,1,0,0,0,0,0,0.0,1
1,0,0,0,0,0,0,0,0,0.0301003344481605,1
0,0,0,0,0,1,1,0,0,0.0167224080267558,1
0,0,0,1,1,0,1,0,0,0.0367892976588628,1
0,1,0,0,0,0,0,0,0,0.00334448160535117,1
0,0,0,1,0,0,0,1,0,0.00334448160535117,1
0,0,0,0,1,0,0,0,0,0.0133779264214046,1
0,0,1,0,1,0,0,0,0,0.020066889632107,1
1,0,0,0,1,0,0,0,0,0.00334448160535117,1
1,0,1,1,0,0,0,0,0,0.0234113712374581,1
0,0,0,0,0,0,0,1,0,0.00334448160535117,1
0,0,0,1,0,0,0,0,0,0.0,1
1,0,0,0,0,1,0,0,0,0.0334448160535117,1
0,0,1,0,0,0,0,0,0,0.00668896321070234,1
1,0,1,1,1,0,0,0,0,0.0234113712374581,1
0,0,0,0,1,0,0,0,0,0.0167224080267558,1
1,0,0,1,1,1,0,0,0,0.0133779264214046,1
1,0,0,1,0,0,0,0,0,0.020066889632107,0
1,0,0,1,0,0,0,0,0,0.0133779264214046,0
0,0,1,0,0,0,0,0,0,0.00334448160535117,0
0,0,0,0,0,1,0,0,0,0.0434782608695652,0
1,0,0,0,1,0,0,0,0,0.020066889632107,1
1,1,1,1,1,1,1,1,1,0.170568561872909,0
1,0,0,0,0,0,0,1,0,0.040133779264214,1
0,0,0,0,1,0,0,1,0,0.0267558528428093,1
1,0,0,0,0,0,0,0,4,1.0,1
1,0,1,0,0,0,0,1,0,0.0133779264214046,1
0,0,0,1,0,0,0,0,0,0.00334448160535117,0
0,0,0,0,1,1,0,0,0,0.0100334448160535,1
1,0,1,0,0,0,0,0,0,0.0133779264214046,1
0,0,1,0,0,0,0,0,0,0.00668896321070234,0
1,0,0,0,0,1,0,0,0,0.0434782608695652,1
1,0,0,0,1,0,0,0,0,0.0468227424749163,1
1,0,0,0,1,0,0,0,0,0.0301003344481605,1
1,0,0,0,0,1,0,0,0,0.0234113712374581,1
0,0,0,0,1,0,0,0,0,0.020066889632107,1
1,0,0,1,0,0,0,0,0,0.0702341137123745,1
0,0,0,1,1,0,0,0,0,0.0234113712374581,1
0,0,0,0,1,0,0,0,0,0.00668896321070234,1
1,0,1,0,0,0,0,0,0,0.0334448160535117,1
0,0,0,0,1,0,0,0,0,0.0167224080267558,1
1,0,0,0,1,0,0,0,0,0.0133779264214046,1
1,1,0,0,0,0,0,1,0,0.0133779264214046,1
1,0,0,0,1,0,0,1,0,0.020066889632107,1
0,0,0,0,0,1,0,0,0,0.0167224080267558,0
1,0,0,0,0,0,0,0,0,0.0568561872909698,1
1,0,0,0,1,0,0,0,0,0.0167224080267558,1
0,0,0,1,1,1,0,0,0,0.0167224080267558,1
0,0,1,1,0,0,0,1,0,0.00668896321070234,1
0,1,1,0,0,1,0,0,0,0.0133779264214046,1
1,0,0,0,1,0,0,0,0,0.00668896321070234,1
0,0,1,0,0,0,0,0,0,0.0100334448160535,1
1,0,0,1,1,0,0,0,0,0.00668896321070234,1
1,0,1,0,0,0,0,0,0,0.0167224080267558,0
0,0,0,0,1,0,0,1,0,0.00668896321070234,1
0,0,1,0,0,0,0,0,0,0.0133779264214046,1
1,0,0,0,0,0,0,1,0,0.0468227424749163,0
1,0,0,1,1,1,0,0,0,0.0267558528428093,1
0,1,0,0,0,0,0,0,0,0.0,1
1,0,1,0,0,0,0,1,0,0.0133779264214046,0
1,0,0,0,0,0,0,0,0,0.0903010033444816,1
0,1,0,0,0,0,0,0,0,0.00668896321070234,0
1,0,1,0,1,0,0,0,0,0.0234113712374581,1
0,0,0,1,0,0,0,0,0,0.00668896321070234,1
1,0,0,0,0,0,0,0,0,0.0167224080267558,1
1,0,0,1,0,0,0,1,0,0.0,1
1,0,0,0,0,0,0,0,0,0.0535117056856187,0
0,0,1,0,0,0,0,0,0,0.00334448160535117,1
0,0,0,1,0,0,0,0,0,0.0100334448160535,1
1,0,0,0,0,1,0,1,0,0.0301003344481605,1
0,0,1,0,1,0,0,0,0,0.0167224080267558,1
1,0,0,1,0,0,0,1,0,0.00334448160535117,1
1,0,0,0,0,1,0,0,0,0.0133779264214046,1
1,0,1,0,0,0,0,0,0,0.00668896321070234,1
0,0,1,0,0,0,0,0,0,0.0133779264214046,0
1,0,0,0,1,0,0,0,0,0.13377926421404598,1
1,0,1,1,1,0,0,0,0,0.0234113712374581,1
0,1,0,0,0,0,0,0,0,0.00668896321070234,1
0,0,0,1,0,0,0,0,0,0.00334448160535117,1
0,0,0,0,1,0,0,0,0,0.0167224080267558,1
0,0,1,0,0,0,0,0,0,0.0100334448160535,1
1,0,0,0,1,0,0,0,0,0.0167224080267558,1
0,0,1,0,0,0,0,0,0,0.0133779264214046,1
1,0,1,1,0,0,0,0,0,0.020066889632107,1
1,0,0,0,0,0,0,0,0,0.040133779264214,1
1,0,0,0,1,0,0,0,0,0.0735785953177257,1
1,0,0,0,0,0,0,1,0,0.0501672240802675,0
1,0,1,1,0,0,0,0,0,0.0234113712374581,0
1,0,0,0,1,0,0,1,0,0.0133779264214046,1
0,1,0,0,0,0,0,0,0,0.0167224080267558,0
0,0,0,0,1,0,0,0,0,0.0100334448160535,1
1,0,0,0,1,0,0,0,0,0.0468227424749163,1
0,0,0,1,0,0,0,0,0,0.0,1
0,0,0,1,1,0,0,1,0,0.123745819397993,1
0,0,1,1,1,0,0,0,0,0.0869565217391304,1
0,0,1,1,1,0,0,0,0,0.103678929765886,1
0,0,0,0,0,0,0,0,0,0.0,1
0,0,0,0,0,0,0,0,0,0.0,1
0,0,0,0,0,0,1,0,0,0.0,1
0,0,0,1,0,0,0,0,0,0.0267558528428093,1
1,0,0,0,0,0,0,0,0,0.0,1
0,0,0,0,0,0,0,0,0,0.0,1
1,0,0,0,0,0,0,0,0,0.0,1
1,0,0,0,0,0,0,0,0,0.0,0
0,1,0,0,0,0,0,0,0,0.020066889632107,0
1,0,1,1,1,1,0,0,0,0.0468227424749163,1
1,0,0,0,0,1,0,1,0,0.0234113712374581,0
1,0,0,0,0,0,0,0,0,0.00668896321070234,1
1,0,0,0,1,1,0,0,0,0.0535117056856187,1
0,0,0,0,1,0,0,0,0,0.00334448160535117,1
0,0,0,0,1,0,0,0,0,0.00668896321070234,1
0,0,0,0,0,0,0,0,0,0.00334448160535117,1
1,0,0,0,0,0,0,0,0,0.00668896321070234,1
0,0,0,0,0,0,0,0,0,0.0,1
1,0,0,1,0,0,0,0,0,0.0167224080267558,0
1,1,0,0,0,0,0,0,0,0.0100334448160535,1
1,0,1,0,0,0,0,0,0,0.0167224080267558,1
1,0,0,0,0,0,0,1,0,0.0133779264214046,1
0,0,1,0,0,0,0,0,0,0.0100334448160535,1
0,0,1,0,0,0,0,0,0,0.00668896321070234,1
1,0,1,1,1,1,0,0,0,0.0969899665551839,0
0,1,1,1,1,1,0,0,0,0.20066889632107002,1
1,0,0,0,0,1,0,0,0,0.0434782608695652,1
1,1,1,1,1,1,0,0,0,0.0836120401337792,1
1,0,0,1,1,0,0,0,0,0.0367892976588628,1
0,1,1,1,1,1,0,1,1,0.11371237458193902,0
1,1,1,1,1,1,0,0,0,0.9698996655518392,1
1,0,0,0,0,0,0,1,0,0.0,1
1,0,0,0,0,0,0,1,0,0.0267558528428093,1
1,0,0,0,0,0,0,1,0,0.00668896321070234,1
1,0,0,0,0,0,0,0,0,0.0367892976588628,0
1,0,0,0,0,0,0,0,0,0.0,1
1,0,0,0,0,0,0,0,0,0.0,0
1,0,0,0,0,0,0,0,6,1.0,0
1,0,0,0,0,0,0,0,7,0.759197324414715,0
1,0,0,0,0,0,0,0,15,0.675585284280936,0
1,0,0,0,0,0,0,1,0,0.0,1
1,0,0,0,0,0,0,0,8,0.6254180602006679,0
0,0,0,0,0,0,0,1,0,0.0,0
1,0,0,0,0,0,1,1,0,0.0,0
1,0,0,0,0,0,0,0,0,0.0,0
1,0,0,1,0,0,0,0,0,0.0100334448160535,1
1,0,0,0,0,0,0,0,5,0.57190635451505,0
0,0,0,1,0,0,0,0,0,0.0100334448160535,1
0,1,0,0,0,0,0,1,0,0.0133779264214046,1
1,0,1,0,0,1,0,0,0,0.0267558528428093,0
0,0,0,0,1,0,0,1,0,0.00668896321070234,1
1,0,0,0,0,0,0,0,3,0.622073578595317,0
0,0,0,1,1,0,0,0,0,0.0167224080267558,1
1,0,0,0,0,0,0,0,10,1.0,0
1,0,1,0,0,0,0,0,0,0.0301003344481605,0
1,0,0,0,0,0,0,0,0,0.0133779264214046,0
1,0,0,0,1,0,0,0,0,0.0167224080267558,1
0,0,0,0,0,0,0,0,0,0.0,1
1,0,1,0,0,0,0,0,0,0.00668896321070234,0
1,0,0,0,1,0,0,0,0,0.020066889632107,1
0,0,0,1,0,0,0,0,0,0.0234113712374581,1
0,0,0,0,0,0,1,1,4,0.267558528428093,0
1,0,0,1,1,0,0,0,0,0.00668896321070234,1
1,0,0,0,1,0,0,0,0,0.0100334448160535,1
1,0,0,0,1,0,0,1,0,0.0133779264214046,1
0,0,0,0,1,0,1,0,1,0.0802675585284281,1
0,0,0,0,0,1,0,0,0,0.0334448160535117,1
1,0,0,0,1,1,1,1,0,0.160535117056856,0
0,0,0,0,0,0,0,0,0,0.0267558528428093,0
0,1,0,0,0,0,0,0,0,0.00668896321070234,1
0,0,0,0,1,0,1,0,0,0.0568561872909698,1
0,0,1,1,0,0,0,0,0,0.00334448160535117,1
0,0,1,0,0,0,0,0,0,0.00334448160535117,1
0,0,0,0,1,0,0,1,0,0.0367892976588628,1
1,0,1,0,0,0,0,1,0,0.0133779264214046,0
1,0,0,0,0,0,0,1,0,0.0133779264214046,1
1,0,0,0,1,0,0,0,0,0.0301003344481605,1
1,0,1,0,0,0,0,1,0,0.00334448160535117,1
1,0,1,0,0,0,0,1,0,0.00668896321070234,1
1,0,0,0,0,0,0,0,0,0.0,1
1,0,0,1,1,1,0,0,0,0.0434782608695652,1
0,0,0,0,0,0,0,0,0,0.0,1
1,0,0,1,1,0,0,1,0,0.0234113712374581,1
1,0,0,1,0,0,0,0,0,0.0,1
1,0,0,0,0,0,0,1,0,0.00668896321070234,1
0,1,0,0,0,0,0,0,0,0.00668896321070234,1
1,0,0,0,0,0,0,1,0,0.10033444816053501,0
0,0,0,0,0,0,0,1,0,0.0434782608695652,1
1,0,0,0,1,0,0,0,0,0.0501672240802675,1
1,0,0,1,0,0,1,1,3,0.474916387959866,0
0,0,1,0,1,0,0,0,0,0.020066889632107,1
1,0,1,1,0,0,0,0,0,0.0334448160535117,0
1,0,1,0,0,0,0,0,0,0.0133779264214046,1
0,0,0,0,0,1,0,0,0,0.0301003344481605,1
1,0,1,0,0,0,0,0,0,0.00334448160535117,1
0,1,0,0,0,0,0,0,0,0.0,1
1,0,0,0,1,1,0,0,0,0.0234113712374581,1
1,1,0,0,0,0,0,0,0,0.00334448160535117,1
1,0,0,1,0,0,0,1,0,0.0,1
0,0,0,0,1,0,0,0,0,0.00668896321070234,1
0,0,0,1,0,0,0,0,0,0.00668896321070234,1
1,0,0,1,0,0,0,1,0,0.020066889632107,1
0,0,0,0,1,0,0,0,0,0.0133779264214046,1
0,0,0,1,1,0,0,0,0,0.0836120401337792,1
1,0,0,0,1,0,0,0,0,0.0100334448160535,1
1,0,1,0,1,0,0,0,0,0.0267558528428093,1
1,0,0,0,0,1,0,0,0,0.0334448160535117,1
0,0,0,0,1,0,0,1,0,0.0234113712374581,0
0,0,0,0,1,0,0,1,0,0.0133779264214046,1
1,0,1,0,0,0,0,0,0,0.0133779264214046,1
1,0,1,0,0,0,0,0,0,0.0133779264214046,1
0,0,0,0,1,0,0,0,0,0.00668896321070234,1
1,0,0,0,0,0,0,1,0,0.0367892976588628,1
0,0,0,0,1,0,0,0,0,0.00334448160535117,1
1,0,0,0,1,0,0,0,0,0.0468227424749163,1
0,0,0,0,1,1,0,0,0,0.0167224080267558,1
1,0,0,1,0,0,0,1,0,0.00334448160535117,1
1,0,0,1,0,0,0,0,0,0.00668896321070234,1
0,1,0,0,0,0,0,0,0,0.00334448160535117,1
0,0,0,0,0,1,0,0,0,0.0301003344481605,1
0,0,0,0,1,0,0,0,0,0.0167224080267558,1
0,0,0,1,0,0,0,0,0,0.00668896321070234,1
0,1,0,0,0,0,0,0,2,0.00334448160535117,1
1,0,0,1,1,0,0,0,0,0.00668896321070234,1
0,0,0,0,0,0,0,0,0,0.0,1
1,0,1,1,0,0,0,0,0,0.020066889632107,1
0,0,0,1,1,0,0,0,0,0.00668896321070234,1
1,1,0,0,0,0,0,0,0,0.0,1
1,0,0,0,1,0,0,0,0,0.00668896321070234,1
1,0,0,0,0,1,0,0,0,0.0267558528428093,1
1,0,0,1,1,0,0,0,0,0.0100334448160535,1
1,0,1,0,0,0,0,1,0,0.0167224080267558,1
1,1,1,0,0,0,0,0,0,0.0334448160535117,1
1,0,1,0,0,0,0,1,0,0.0334448160535117,1
1,0,1,0,0,0,1,1,0,0.14381270903010002,1
1,1,1,0,0,0,0,0,0,0.0367892976588628,1
0,0,0,0,1,0,0,0,0,0.0234113712374581,1
0,0,0,1,1,0,0,0,0,0.0167224080267558,1
1,0,0,1,0,0,0,1,0,0.00334448160535117,1
0,0,0,0,0,1,0,0,0,0.0100334448160535,1
1,0,0,0,0,1,0,0,0,0.00668896321070234,1
1,0,0,0,1,1,0,0,0,0.0468227424749163,1
0,0,1,1,0,0,0,0,0,0.0234113712374581,0
0,0,0,0,0,0,0,0,0,0.00334448160535117,1
1,0,0,1,0,0,0,0,0,0.0167224080267558,1
1,0,0,0,0,0,0,1,0,0.0167224080267558,1
1,0,0,0,0,1,0,0,0,0.0234113712374581,1
0,1,0,0,0,0,0,0,0,0.0,1
1,1,0,0,0,0,0,0,0,0.0,1
1,0,0,1,0,0,0,1,0,0.020066889632107,0
1,0,0,0,0,0,0,1,0,0.00668896321070234,1
0,0,0,0,1,1,0,1,0,0.020066889632107,1
1,0,1,1,0,0,0,0,0,0.0100334448160535,1
1,0,0,1,0,0,0,1,0,0.020066889632107,0
0,0,1,0,0,0,0,0,0,0.0133779264214046,1
0,0,1,0,0,0,0,1,0,0.0,1
0,0,0,0,1,0,0,0,0,0.0100334448160535,1
0,0,0,1,1,0,0,0,0,0.0367892976588628,1
0,0,0,1,1,0,0,0,0,0.0167224080267558,1
0,0,0,0,1,0,0,0,0,0.0100334448160535,1
0,0,0,0,1,0,0,1,0,0.00668896321070234,1
0,0,0,0,1,0,0,0,0,0.0133779264214046,1
0,0,0,0,0,1,0,0,0,0.0301003344481605,1
1,0,0,0,1,0,0,1,0,0.0133779264214046,0
0,0,0,1,0,0,0,0,0,0.00334448160535117,1
1,0,0,0,0,0,0,1,0,0.00668896321070234,1
0,0,0,0,1,0,0,1,0,0.00668896321070234,1
0,0,0,0,0,0,1,1,7,0.0,0
0,1,1,0,0,1,0,0,0,0.0133779264214046,1
1,1,0,0,0,0,0,0,0,0.0167224080267558,0
1,0,0,0,1,0,0,1,0,0.0267558528428093,1
0,0,0,0,0,0,0,1,0,0.0133779264214046,1
1,0,0,0,1,0,0,1,0,0.00668896321070234,1
1,0,0,0,1,0,0,1,0,0.0133779264214046,1
0,0,0,0,0,0,0,1,0,0.00334448160535117,1
1,0,0,0,0,0,0,1,0,0.00668896321070234,1
1,0,1,0,0,0,0,1,0,0.0167224080267558,1
1,0,0,1,0,0,0,0,0,0.0167224080267558,1
1,1,0,0,0,0,0,0,0,0.0133779264214046,0
1,1,0,0,0,0,0,0,0,0.00334448160535117,1
0,0,0,0,0,0,0,1,0,0.0,1
1,0,0,0,1,0,0,0,0,0.0133779264214046,1
0,0,0,0,1,0,0,1,0,0.0,1
1,0,0,0,0,1,0,0,0,0.0668896321070234,1
1,0,1,0,0,0,0,0,0,0.0334448160535117,1
1,1,0,0,0,0,0,0,0,0.0,1
0,0,0,0,0,0,1,1,0,0.0869565217391304,0
1,0,0,0,0,0,0,1,0,0.0802675585284281,0
0,0,0,0,0,1,1,1,10,0.0936454849498327,0
1,0,0,0,0,0,0,0,7,0.518394648829431,0
0,0,0,0,0,0,1,1,7,0.227424749163879,0
0,1,0,0,0,0,0,1,0,0.00668896321070234,1
1,0,0,0,0,0,0,1,0,0.227424749163879,0
1,0,0,0,1,0,0,0,0,0.0167224080267558,1
1,0,1,0,1,0,1,1,0,0.130434782608695,0
1,0,0,0,0,0,0,0,10,0.765886287625418,0
1,0,0,0,0,0,0,0,0,0.0100334448160535,1
0,0,0,0,1,0,0,0,0,0.0100334448160535,1
0,0,1,0,0,0,0,0,0,0.00668896321070234,1
1,0,0,0,0,0,1,1,0,0.0,0
1,0,0,1,1,0,0,0,0,0.00334448160535117,1
1,0,0,0,0,0,1,0,0,0.060200668896321,1
0,0,0,0,0,0,0,1,0,0.0100334448160535,1
1,0,0,1,0,0,0,0,0,0.0234113712374581,1
0,0,0,0,1,0,0,0,0,0.0133779264214046,1
0,0,0,1,1,0,0,0,0,0.0133779264214046,0
0,0,0,0,1,0,0,1,0,0.0100334448160535,1
1,0,0,0,1,0,0,0,0,0.0167224080267558,1
1,0,0,1,1,0,0,1,0,0.0267558528428093,1
1,0,0,0,1,0,0,0,0,0.0167224080267558,1
1,0,0,0,1,0,0,0,0,0.0735785953177257,1
0,0,0,0,1,0,1,0,0,0.0735785953177257,1
0,0,0,0,0,1,0,1,0,0.0133779264214046,1
1,0,0,1,0,0,0,0,0,0.0301003344481605,0
1,0,0,1,1,0,0,0,0,0.0267558528428093,1
1,0,1,0,0,0,0,0,0,0.0267558528428093,0
1,0,0,0,1,0,0,0,0,0.0167224080267558,1
1,0,0,0,1,0,0,0,0,0.060200668896321,1
0,0,1,0,0,1,1,1,0,0.0969899665551839,0
1,0,0,1,1,1,0,0,0,0.0434782608695652,1
0,1,0,0,0,0,0,0,0,0.00668896321070234,1
0,0,0,1,0,0,0,0,0,0.0,1
0,0,0,0,1,0,0,0,0,0.020066889632107,1
0,0,0,1,0,0,0,0,0,0.00334448160535117,0
1,0,1,0,0,0,0,0,0,0.0133779264214046,1
0,0,0,0,0,1,0,1,0,0.0167224080267558,1
1,0,1,0,0,0,0,0,0,0.0133779264214046,0
1,0,0,1,0,0,0,1,0,0.0,1
1,0,0,1,1,1,0,0,0,0.0167224080267558,1
0,0,1,0,0,0,0,1,0,0.00668896321070234,1
1,0,0,0,0,0,0,0,0,0.0434782608695652,1
0,0,0,1,1,0,1,0,0,0.0167224080267558,1
1,0,1,0,0,0,0,0,0,0.0100334448160535,0
1,0,0,1,0,0,0,0,0,0.00334448160535117,0
1,0,0,1,1,1,1,1,6,0.140468227424749,0
1,0,0,0,1,0,0,1,0,0.00668896321070234,1
1,0,0,0,0,0,0,1,0,0.00334448160535117,1
0,0,0,0,1,0,0,1,0,0.0234113712374581,1
1,0,0,0,0,0,0,1,0,0.020066889632107,0
1,0,1,0,0,0,0,0,0,0.0133779264214046,1
0,0,0,0,1,0,0,0,0,0.00668896321070234,1
0,0,1,0,0,1,0,0,0,0.0133779264214046,1
1,0,1,0,0,0,0,0,0,0.0133779264214046,1
1,0,0,0,1,0,0,0,0,0.0167224080267558,1
0,0,0,0,0,0,1,1,7,0.13712374581939699,0
0,0,0,1,0,0,0,1,0,0.0133779264214046,1
1,0,1,0,0,0,0,0,0,0.0133779264214046,1
0,0,0,0,0,1,0,0,0,0.0100334448160535,0
